"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.8013336484227,0.403,0.097,0,0,"Mas1"
0,2.58347068164896,0.518,0.112,0,0,"Adra1d"
0,2.20005073243227,0.554,0.161,0,0,"Crhr1"
0,5.04636362639808,0.452,0.03,0,1,"Gpr101"
0,4.87149960724835,0.493,0.11,0,1,"Dlk1"
0,4.83391607412172,0.378,0.022,0,1,"Chrm5"
0,4.24574153827495,0.843,0.086,0,2,"S1pr5"
0,4.08544774104642,0.847,0.099,0,2,"Erbb3"
0,3.93451449795192,0.997,0.238,0,2,"Gjc3"
0,3.85452247699765,0.313,0.028,0,3,"Rxfp1"
0,3.12606829619864,0.773,0.129,0,3,"Sstr2"
0,2.50735605626396,0.572,0.104,0,3,"Htr1f"
0,3.6773574064485,0.96,0.33,0,4,"Fgfr3"
0,3.64380787228574,0.987,0.495,0,4,"Ntsr2"
0,3.50215458112502,0.984,0.394,0,4,"Gpr37l1"
0,5.40337176789554,0.794,0.055,0,5,"Slco1a4"
0,5.01285583368144,0.936,0.112,0,5,"Adgrl4"
0,4.96445984035566,0.948,0.086,0,5,"Cldn5"
0,4.46954754841455,0.426,0.029,0,6,"Vipr2"
0,3.77625985916051,0.406,0.029,0,6,"Adra2b"
0,3.61833927335026,0.979,0.221,0,6,"Slc17a6"
0,3.8696254064538,0.398,0.117,0,7,"Kit"
0,3.54092936993328,0.99,0.291,0,7,"Gad1"
0,3.51559667608421,0.906,0.352,0,7,"Erbb4"
0,6.9667989283228,0.907,0.039,0,8,"Gpr17"
0,5.53294322710763,0.806,0.073,0,8,"Pdgfra"
0,4.12134566792864,0.713,0.134,0,8,"Traf4"
0,6.13917896780707,0.695,0.048,0,9,"Adora2a"
0,5.65054213530397,0.302,0.012,0,9,"Gpr6"
0,5.6468319416119,0.739,0.09,0,9,"Drd2"
0,7.50850767771564,0.299,0.003,0,10,"Adora3"
0,7.26897461082395,0.818,0.017,0,10,"P2yr13"
0,6.82139272763105,0.973,0.081,0,10,"Cx3cr1"
0,7.75049286011098,0.947,0.033,0,11,"Abcc9"
0,7.19331823847556,0.947,0.063,0,11,"Atp13a5"
0,6.94234562383923,0.704,0.013,0,11,"Tbxa2r"
0,7.79646684357647,0.357,0.004,0,12,"Sctr"
0,6.41146494656204,0.661,0.021,0,12,"Cxcr4"
0,4.3320827366208,0.342,0.031,0,12,"Celsr1"
0,7.42851817220897,0.643,0.013,0,13,"Lmod1"
0,7.3600004895245,0.604,0.037,0,13,"Myh11"
0,6.20579680749385,0.269,0.007,0,13,"Hcar1"
0,8.77985303239951,0.711,0.027,0,14,"Gpr151"
0,8.13870676850124,0.569,0.007,0,14,"Chat"
0,5.51382165518095,0.504,0.016,0,14,"Htr5b"
0,2.48982823154545,0.86,0.157,0,15,"S1pr5"
0,2.47576325348988,0.871,0.169,0,15,"Erbb3"
0,2.36259151406596,0.997,0.31,0,15,"Gjc3"
0,6.38514425450061,0.865,0.013,0,16,"Cckar"
0,4.43083616406853,0.701,0.023,0,16,"Pln"
0,4.32893017462738,0.999,0.323,0,16,"Gad1"
0,4.02849191151213,0.657,0.017,0,17,"Htr5b"
0,3.08860755568857,0.552,0.173,0,17,"Gpr161"
0,2.78853978006123,0.327,0.053,0,17,"Drd5"
0,6.8988427986042,0.893,0.038,0,18,"Crhr2"
0,6.22207852660969,0.387,0.013,0,18,"F2rl3"
0,6.18025264651581,0.96,0.154,0,18,"Htr2c"
0,3.69466526638217,0.348,0.028,0,19,"Pln"
0,2.8728541096742,0.837,0.174,0,19,"Erbb3"
0,2.85272594367908,1,0.314,0,19,"Gjc3"
